UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
108483,50871,100 7 7.58,21 16 13.33,-100.1187725,21.27036941,Guanajuato,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Xichú,45
108485,50872,100 4 13.34,21 16 11.16,-100.0703728,21.26976663,Guanajuato,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Xichú,45
108495,50877,99 49 42.18,21 15 59.49,-99.82838339,21.26652429,Guanajuato,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,false,false,false,false,true,,1,,Atarjea,6
108505,0,99 35 11.05,21 15 46.43,-99.58640152,21.26289861,Querétaro,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Pinal de Amoles,2
108523,50891,99 9 3.16,21 15 19.46,-99.15087652,21.25540658,Querétaro,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,true,false,false,false,false,,1,,Landa de Matamoros,10
108525,50892,99 6 8.95,21 15 16.19,-99.10248528,21.25449648,Querétaro,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Landa de Matamoros,10
108563,50911,98 10 59.64,21 14 3.55,-98.18323271,21.23432083,Veracruz de Ignacio de la Llave,CENTRO-SUR,INFyS_2015,true,false,true,true,false,false,false,false,,1,,Tantoyuca,155
108575,50917,97 53 34.84,21 13 36.49,-97.89301202,21.22680205,Veracruz de Ignacio de la Llave,CENTRO-SUR,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Chontla,63
108585,50922,97 39 4.23,21 13 12.41,-97.65117617,21.22011496,Veracruz de Ignacio de la Llave,CENTRO-SUR,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Tamiahua,151
108596,50927,90 21 56.81,20 50 18.59,-90.3657813,20.83849807,Yucatán,SURESTE,IMyCA,true,false,true,false,true,false,true,false,,1,,Celestún,11
108598,50928,90 19 3.7,20 50 5.33,-90.31769458,20.83481523,Yucatán,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Celestún,11
108606,0,90 7 31.31,20 49 11.76,-90.12536445,20.8199322,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Maxcanú,48
108608,50933,90 4 38.22,20 48 58.22,-90.07728383,20.81617251,Yucatán,SURESTE,INFyS_2015,true,false,true,true,true,true,false,false,,1,,Kinchil,44
108636,50947,89 24 16.23,20 45 43.06,-89.40450847,20.7619618,Yucatán,SURESTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Acanceh,2
108646,50952,89 9 51.72,20 44 30.77,-89.16436712,20.74188159,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Huhí,37
108648,50953,89 6 58.85,20 44 16.16,-89.11634691,20.73782085,Yucatán,SURESTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Huhí,37
108666,50962,88 41 3.46,20 42 2.12,-88.68429473,20.7005895,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Tinum,91
108676,50967,88 26 39.75,20 40 45.75,-88.4443738,20.6793758,Yucatán,SURESTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Tinum,91
108686,50972,88 12 16.29,20 39 28.03,-88.20452637,20.65778632,Yucatán,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Valladolid,102
108688,50973,88 9 23.65,20 39 12.32,-88.1565686,20.65342271,Yucatán,SURESTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Valladolid,102
108706,50982,87 43 30.23,20 36 48.51,-87.72506512,20.6134747,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Solidaridad,8
108716,50987,87 29 7.64,20 35 26.72,-87.48545619,20.59075434,Quintana Roo,SURESTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Solidaridad,8
108726,50992,87 14 45.33,20 34 3.56,-87.2459238,20.56765654,Quintana Roo,SURESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Solidaridad,8
108728,50993,87 11 52.9,20 33 46.78,-87.19802753,20.56299311,Quintana Roo,SURESTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Solidaridad,8
108730,50994,87 9 0.49,20 33 29.93,-87.15013722,20.55831261,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Solidaridad,8
108734,0,86 51 46.24,20 31 47.71,-86.86284547,20.52991978,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Cozumel,1
109210,50539,105 3 24.75,21 17 48.4,-105.0568754,21.29677847,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Compostela,4
109220,50544,104 48 53.48,21 18 5.12,-104.8148564,21.30142135,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Compostela,4
