UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
72766,0,19 09 58,-90 30 31,-90.508611,19.166111,Veracruz de Ignacio de la Llave,CENTRO - SUR,INFYS,true,false,false,false,true,true,false,false,,1,,Actopan,4
72797,59904,19 08 52,-90 16 16,-90.271111,19.147778,Campeche,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Champotón,4
72807,59909,19 07 45,-90 02 01,-90.033611,19.129167,Campeche,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Champotón,4
72817,59914,19 06 37,-89 47 47,-89.796389,19.110278,Campeche,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Champotón,4
72827,59919,19 05 27,-89 33 32,-89.558889,19.090833,Campeche,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Hopelchén,6
72837,59924,19 04 15,-89 19 18,-89.321667,19.070833,Campeche,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Calakmul,10
72847,0,19 03 03,-89 05 05,-89.084722,19.050833,Campeche,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Hopelchén,6
72857,59934,19 01 49,-88 50 51,-88.8475,19.030278,Quintana Roo,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Othón P. Blanco,4
72867,59939,19 00 33,-88 36 38,-88.610556,19.009167,Quintana Roo,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Othón P. Blanco,4
72877,59944,18 59 17,-88 22 25,-88.373611,18.988056,Quintana Roo,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Othón P. Blanco,4
72887,0,18 57 59,-88 08 12,-88.136667,18.966389,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
72897,59954,18 56 55,-87 56 50,-87.947222,18.948611,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
72905,59958,18 56 39,-87 53 60,-87.9,18.944167,Quintana Roo,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Othón P. Blanco,4
72907,59959,18 55 19,-87 39 48,-87.663333,18.921944,Quintana Roo,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
72917,0,19 37 11,-104 58 15,-104.970833,19.619722,Quintana Roo,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
