UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
229625,20567,27 29 28,-107 32 24,-107.54,27.4911111,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,false,1,1,2,Guachochi,8027
229635,20572,27 29 59,-107 17 11,-107.2863889,27.4997222,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,,1,2,Guachochi,8027
229645,20577,27 30 28,-107 01 58,-107.0327778,27.5077778,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,1,1,2,Carichí,8012
230470,20216,27 10 54,-114 01 11,-114.0197222,27.1816667,Baja California Sur,NOROESTE,INFYS,true,false,false,false,false,false,false,true,2,1,2,Mulegé,3002
230506,20234,27 14 51,-113 06 40,-113.1111111,27.2475,Baja California Sur,NOROESTE,INFYS,true,false,false,false,false,false,false,false,2,1,2,Mulegé,3002
230510,20236,27 15 16,-113 00 37,-113.0102778,27.2544444,Baja California Sur,NOROESTE,INFYS,true,false,true,false,false,false,false,false,2,1,2,Mulegé,3002
230540,20251,27 18 17,-112 15 08,-112.2522222,27.3047222,Baja California Sur,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Mulegé,3002
230543,20253,27 24 20,-110 31 56,-110.5322222,27.4055556,Sonora,NOROESTE,IMyCA,true,false,true,false,false,false,false,false,1,1,2,San Ignacio Río Muerto,26072
230549,0,27 24 48,-110 22 49,-110.3802778,27.4133333,Sonora,NOROESTE,INFYS,true,false,true,false,false,false,false,false,2,1,2,San Ignacio Río Muerto,26072
230579,0,27 27 05,-109 37 14,-109.6205556,27.4513889,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Quiriego,26049
230585,20274,27 27 30,-109 28 07,-109.4686111,27.4583333,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,2,1,2,Quiriego,26049
230589,0,27 27 47,-109 22 02,-109.3672222,27.4630556,Sonora,NOROESTE,INFYS,true,false,true,true,false,false,false,false,2,1,2,Quiriego,26049
230599,0,27 28 28,-109 06 50,-109.1138889,27.4744444,Sonora,NOROESTE,INFYS,true,false,true,true,false,false,false,false,1,1,2,Quiriego,26049
230619,20291,27 29 46,-108 36 25,-108.6069444,27.4961111,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,false,1,1,2,Chínipas,8020
230625,20294,27 30 09,-108 27 17,-108.4547222,27.5025,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,6,1,2,Guazapares,8030
